gen,nevals,avg,std,min,max
121,70,45449801.61337508,235030.19394933555,45296095.01448756,46086957.97110657
122,71,45450720.709551826,236953.17055908736,45276778.02203554,46117599.00520218
123,67,45501418.367029846,271701.22844150465,45276778.02203554,46094936.251667425
124,60,45428527.875189885,234573.96518710573,45276645.8344917,46116068.29332339
125,68,45460775.09185635,265770.17355411826,45276645.8344917,46059799.09943936
126,64,45439066.89277641,242267.17404612785,45286850.09693961,46020681.73204361
127,55,45424317.763695896,239154.67642685046,45286694.98863386,46069620.95510543
128,66,45422584.989210814,228776.95283721556,45276825.005781956,46027851.47254452
129,69,45454003.999244094,260906.83227679637,45276825.005781956,46019037.90579864
130,60,45433281.01029525,246528.05008196054,45286826.50814486,46078159.82349037
131,69,45455518.89143497,260885.1773263159,45276584.7796192,46147718.00432583
132,70,45484889.794909045,276417.90909326915,45286452.14657419,46040094.65404369
133,66,45465036.03613229,256719.87503522527,45286452.14657419,46038086.93665975
134,74,45467890.88661723,252607.13703796477,45267671.42510523,45977654.67644338
135,64,45448782.86250719,244133.2814278181,45267671.42510523,45967615.669796675
136,63,45421889.00809065,240542.01131335497,45277486.01455179,46207670.65380803
137,73,45445738.50085367,253214.53748053653,45277133.73438386,46038036.55921885
138,72,45426366.85439309,239113.0157514406,45276254.793355405,46028104.95912185
139,67,45430332.15093807,236273.2279862358,45266856.721270636,46037632.15989081
140,73,45462194.96033547,261237.59565237674,45267254.309527986,46077901.7524171
141,71,45450229.253357746,254201.1151878848,45267120.955875576,46096126.123538285
142,65,45424793.53813984,242912.87148511977,45266859.651721716,46001202.17789761
143,68,45464506.17405493,264207.8209037616,45266591.59455145,46059647.33442721
144,71,45427057.70722915,240809.93897035962,45247038.7989631,46020918.77502464
145,64,45420826.10186831,234977.61797796233,45236728.909251496,46000431.27117515
146,68,45399573.357216656,226097.2171694348,45236728.909251496,46056784.53797325
147,70,45427884.80863881,248117.7585604177,45236728.909251496,46018598.43739608
148,75,45458872.5707749,261048.67818981578,45256887.80632872,45987789.038930416
149,61,45422876.68737732,266344.1483132129,45256887.80632872,46187197.863264546
150,65,45376004.87631735,222047.45012588098,45256887.80632872,45997372.90443278
