timestamp,ga_bearing_deg,ga_distance_km,ga_direction
2026-01-22 08:32:20.420628+00:00,163.0,5.993404666666116,S
2026-01-30 02:53:14.866659+00:00,163.0,5.993404666666116,S
2026-01-30 03:13:21.356247+00:00,163.0,5.993404666666116,S
2026-01-30 03:36:39.351046+00:00,163.0,5.993404666666116,S
2026-01-30 03:56:34.010472+00:00,163.0,5.993404666666116,S
2026-01-30 04:02:29.275454+00:00,163.0,5.993404666666116,S
2026-01-30 04:05:51.662553+00:00,163.0,5.993404666666116,S
2026-01-30 06:30:04.737025+00:00,163.0,5.993404666666116,S
2026-01-30 07:09:21.921387+00:00,163.0,6.215550249015528,S
2026-06-21 12:00:05.343562+00:00,163.0,5.993404666666116,S
2026-06-25 16:45:56.382674+00:00,163.0,5.993404666666116,S
