Waktu,ACO_Pusat_Lat,ACO_Pusat_Lon,ACO_Area,GA_Sudut,GA_Arah,GA_Arah_Jarak,Anomali
2022-01-01 07:57:00,-7.916717236926822,112.3061172305354,92.78819917355193,180,Selatan,6.042813882135055,Normal
2022-01-03 12:48:00,-7.868128963606708,112.369014268496,109.15218251760177,232,Barat Daya,11.25307501777125,Normal
2022-01-03 13:56:00,-8.141551831137674,114.0651860489784,42.048630903417376,288,Barat,7.063723721816991,Normal
2022-01-03 19:35:00,-8.133701421527677,114.0581574221127,28.274333882308138,276,Barat,6.134360640687841,Normal
2022-01-04 13:41:00,-7.910047776492585,112.310988665706,318.60587762834734,196,Selatan,6.214813596599742,Normal
2022-01-06 21:43:00,-7.951727155089354,112.9363494824208,58.04343116452408,49,Timur Laut,6.625609733735496,Normal
2022-01-07 07:34:00,-8.12147034680821,114.0222914500236,134.9525613145812,126,Tenggara,6.905956194546934,Normal
2022-01-12 02:21:00,-7.950031055581993,112.9512794539355,36.21053179183325,187,Selatan,11.49556098885096,Normal
2022-01-12 09:01:00,-8.059007362301589,113.997373075901,48.373937531502456,151,Tenggara,10.51992579643476,Normal
2022-01-14 00:42:00,-8.116487702886182,114.053251378076,40.819463337750015,242,Barat Daya,6.902400301769307,Normal
2022-01-14 10:05:00,-7.910022494225677,112.2991975743061,63.82229617337562,163,Selatan,6.681594138392224,Normal
2022-01-14 12:19:00,-8.100086118922372,112.9382496730046,92.10848068615216,232,Barat Daya,6.326935396750358,Normal
2022-01-14 20:50:00,-7.94212865402597,112.9748334446094,220.43052777734084,239,Barat Daya,7.99750552941341,Normal
2022-01-15 04:26:00,-8.14116103368778,112.9615892157479,295.60942951230595,301,Barat Laut,8.862397209471647,Normal
2022-01-15 06:38:00,-8.086770364988952,114.2589575414479,140.32268136013073,320,Barat Laut,8.03865043487393,Normal
2022-01-15 08:30:00,-7.891901090579822,112.2480336252349,190.5475360219332,128,Tenggara,10.4540811424077,Normal
2022-01-16 02:39:00,-8.134217526776622,112.9180416615425,116.92411998485213,355,Utara,8.24490342648244,Normal
2022-01-18 04:38:00,-7.964557109597892,112.3168003524699,136.29242089078218,339,Utara,8.80668661036378,Normal
2022-01-19 11:00:00,-8.152825354341882,114.066475027313,126.1709051704169,313,Barat Laut,7.787252826670038,Normal
2022-01-19 12:05:00,-8.105514282854502,114.1073640856964,296.81239982996595,262,Barat,10.48482039758098,Normal
2022-01-19 21:24:00,-8.169910939791816,114.0401220548454,153.69269015939267,359,Utara,7.985940679674987,Normal
2022-01-19 22:30:00,-8.12683435056466,114.0523341184574,84.64050194716724,262,Barat,5.697873835896724,Normal
2022-01-20 01:17:00,-8.169501683521084,114.0449604707023,42.111330805672104,355,Utara,8.067626616408573,Normal
2022-01-20 11:11:00,-7.973514240339685,113.0048304151398,186.69464317846996,300,Barat Laut,9.344894184841497,Normal
2022-01-22 11:34:00,-7.883398024253043,112.2663443683203,207.61784687106064,143,Tenggara,10.00365351010732,Normal
2022-01-22 13:08:00,-7.920754809198094,112.3292467571374,88.79137870298636,256,Barat,6.462770096832188,Normal
2022-01-23 10:28:00,-8.042132939203462,112.8738660246577,264.855667017313,144,Tenggara,11.19006671131655,Normal
2022-01-23 22:19:00,-8.113031390323666,114.052395933188,151.67277083775187,236,Barat Daya,7.167556266143563,Normal
2022-01-23 23:14:00,-7.94986263560164,113.0071762134843,567.9279925707174,276,Barat,8.627982354910035,Normal
2022-01-24 22:17:00,-7.978263206344961,112.3732395132086,194.5426790186238,309,Barat Laut,11.77852968715144,Normal
2022-01-25 02:41:00,-7.999641091118968,112.2386483357198,28.274333882308138,32,Timur Laut,12.21085199877794,Normal
2022-01-25 05:28:00,-7.912910190378409,112.3097461281619,128.35060264522653,187,Selatan,6.371829204610592,Normal
2022-01-25 09:51:00,-8.088459102496168,112.9281807713791,169.366887342247,205,Barat Daya,5.916701741830902,Normal
2022-01-25 12:18:00,-7.920619233691167,112.9052513947285,84.17963742530257,118,Tenggara,9.639620402163175,Normal
2022-01-25 15:46:00,-7.984836053974819,112.3519153453574,122.87474784534666,322,Barat Laut,11.1897009781901,Normal
2022-01-25 17:12:00,-8.101423535719341,114.2685623071441,182.24770043572073,314,Barat Laut,8.847549135154242,Normal
2022-01-25 22:28:00,-7.909597185434142,112.3495245056536,64.87457520158532,250,Barat,8.960523559623255,Normal
2022-01-26 15:54:00,-7.981628747320634,112.2415710199748,189.0381448137486,45,Timur Laut,11.41986544697635,Normal
2022-01-26 19:52:00,-7.940872353107685,112.3253107644403,46.3326084927051,304,Barat Laut,7.789704279424619,Normal
2022-01-27 16:17:00,-8.162335086391234,114.0936592068512,442.6996526300893,304,Barat Laut,9.825314942103198,Normal
2022-01-29 07:25:00,-7.944897332139233,112.3424142298435,230.34507940206353,298,Barat Laut,9.256012853801929,Normal
2022-01-29 20:38:00,-8.069106232288952,114.2351192270447,72.52937576862485,331,Barat Laut,7.241564781191494,Normal
2022-01-30 04:40:00,-8.127552516228539,114.0750933350353,345.202393448211,269,Barat,7.477736278453905,Normal
2022-01-31 18:18:00,-8.044117906718789,114.233205669959,144.75290126278634,154,Tenggara,6.703653840416673,Normal
2022-01-31 23:24:00,-8.099009082080153,114.0164814562312,282.8416258030878,138,Tenggara,8.503881872719678,Normal
2022-02-01 03:26:00,-7.927617076198509,112.2607636011464,438.39444457631186,80,Timur,9.200267639131157,Normal
2022-02-01 11:35:00,-7.933503448658401,112.9171435187147,61.04159834758932,111,Timur,8.116175189159257,Normal
2022-02-01 16:55:00,-8.186014778908971,114.0682086489912,193.2157581850906,339,Utara,10.302998453838,Normal
2022-02-02 12:47:00,-8.129788267218117,114.0456054777548,122.2913779718336,260,Barat,5.167328798815604,Normal
2022-02-03 03:39:00,-8.140435633188241,114.0005372641355,42.84734891882791,72,Timur,7.861374366425159,Normal
