Tanggal,Lintang,Bujur,Magnitudo,Kedalaman (km),Lokasi,Sumber,Acquired_Date,Nama,EQ_Lintang,EQ_Bujur,VRP_Max,MSI_summit (W),MSI_total (W),Hembusan,Tektonik_Lokal,Tektonik_Jauh,Tremor_Menerus,Vulkanik_Dangkal,Vulkanik_Dalam,Letusan_Erupsi,Guguran,Harmonik,Tremor_Non_Harmonik,Magnitudo_Original,Kedalaman_Original,Keterangan,isVulkanik,isTektonik,seismic_energy_log10,R1_final,R2_final,R3_final,AreaTerdampak_km2,tfe_doy_sin,tfe_doy_cos,tfe_weekday_sin,Intensity,cluster_id,time_since_last_event_days,OLI_total (W),Magnitudo_scaled,Kedalaman (km)_scaled,seismic_energy_log10_scaled,time_since_last_event_days_scaled,impact_level,Magnitudo_lag1,Magnitudo_lag3,Magnitudo_roll_mean3,Magnitudo_roll_std3,Magnitudo_roll_mean7,Magnitudo_roll_std7,VRP_Max_lag1,VRP_Max_lag3,VRP_Max_roll_mean3,VRP_Max_roll_std3,VRP_Max_roll_mean7,VRP_Max_roll_std7,R3_final_lag1,R3_final_lag3,R3_final_roll_mean3,R3_final_roll_std3,R3_final_roll_mean7,R3_final_roll_std7,seismic_energy_log10_lag1,seismic_energy_log10_lag3,seismic_energy_log10_roll_mean3,seismic_energy_log10_roll_std3,seismic_energy_log10_roll_mean7,seismic_energy_log10_roll_std7,PheromoneScore,Pheromone_Score,Risk_Index,Status_Zona,Radius_Visual_KM,PheromoneScore_lag1,PheromoneScore_lag3,PheromoneScore_roll_mean3,PheromoneScore_roll_std3,PheromoneScore_roll_mean7,PheromoneScore_roll_std7,lstm_prediction,prediction_sigma,prediction_error,anomaly_score
2025-12-09 22:47:00,-8.01,114.18,2.9,17.0,,VolcanoDiscovery,2025-12-09 22:47:00,Ijen,-8.01,114.18,0.0,,0.0,0,10,5,1,1,1,0,0,0,0,2.9,17.0,Unknown,0,1,9.149999999999999,10.043499134948094,22.09569809688581,40.17399653979238,5070.373456912873,-0.37347653741307074,0.9276396261490467,0.7818314824680298,29.0,0,0.34924652777777776,0.0,0.5714285714285715,1.2857142857142858,0.57142857142857,0.6938726207906296,Sedang,0.0,0.0,2.9,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.17399653979238,0.0,40.17399653979238,0.0,0.0,0.0,9.149999999999999,0.0,9.149999999999999,0.0,0.9450121840697095,0.9450121840697095,94.5,Terdampak,5.877254504294055,0.0,0.0,0.9450121840697095,0.0,0.9450121840697095,0.0,,,,0.0
2025-12-09 22:47:00,-8.01,114.18,2.9,17.0,,VolcanoDiscovery,2025-12-09 22:47:00,Raung,-8.01,114.18,0.0,,0.0,8,6,5,1,0,0,0,0,0,0,2.9,17.0,Unknown,0,1,9.149999999999999,10.043499134948094,22.09569809688581,40.17399653979238,5070.373456912873,-0.37347653741307074,0.9276396261490467,0.7818314824680298,29.0,0,0.0,0.0,0.5714285714285715,1.2857142857142858,0.57142857142857,-0.0424597364568082,Sedang,2.9,0.0,2.9,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.17399653979238,0.0,40.17399653979238,0.0,40.17399653979238,0.0,9.149999999999999,0.0,9.149999999999999,0.0,9.149999999999999,0.0,0.9511983133618672,0.9511983133618672,95.12,Terdampak,5.88959993921047,0.9450121840697095,0.0,0.9481052487157884,0.004374253971781427,0.9481052487157884,0.004374253971781427,,,,0.0
2025-12-09 23:16:00,-7.96,112.77,2.1,8.0,,VolcanoDiscovery,2025-12-09 23:16:00,Bromo,-7.96,112.77,0.0,,0.0,0,0,0,1,0,1,0,0,0,0,2.1,8.0,Unknown,0,1,7.95,9.240000000000002,20.328000000000007,36.96000000000001,4291.546255058049,-0.37347653741307074,0.9276396261490467,0.7818314824680298,21.0,0,0.02013888888888889,0.0,-0.5714285714285715,0.0,-0.5714285714285725,0.0,Sedang,2.9,0.0,2.6333333333333333,0.4618802153517005,2.6333333333333333,0.4618802153517005,0.0,0.0,0.0,0.0,0.0,0.0,40.17399653979238,0.0,39.102664359861585,1.855601767423649,39.102664359861585,1.855601767423649,9.149999999999999,0.0,8.749999999999998,0.6928203230275504,8.749999999999998,0.6928203230275504,0.0001,0.0001,0.01,Aman,3.0,0.9511983133618672,0.0,0.6321034991438589,0.5473398251968024,0.6321034991438589,0.5473398251968024,,,,0.0
2025-12-09 23:16:00,-7.96,112.77,2.1,8.0,,VolcanoDiscovery,2025-12-09 23:16:00,Semeru,-7.96,112.77,0.0,,0.0,4,0,0,0,0,0,46,2,6,0,2.1,8.0,Unknown,0,1,7.95,9.240000000000002,20.328000000000007,36.96000000000001,4291.546255058049,-0.37347653741307074,0.9276396261490467,0.7818314824680298,21.0,0,0.0,0.0,-0.5714285714285715,0.0,-0.5714285714285725,-0.0424597364568082,Sedang,2.1,2.9,2.3666666666666667,0.4618802153517005,2.5,0.4618802153517005,0.0,0.0,0.0,0.0,0.0,0.0,36.96000000000001,40.17399653979238,38.03133217993079,1.8556017674236465,38.56699826989619,1.8556017674236482,7.95,9.149999999999999,8.35,0.6928203230275514,8.549999999999999,0.6928203230275506,0.05978295139323081,0.05978295139323081,5.98,Aman,3.0,0.0001,0.9450121840697095,0.3370270882516993,0.5327243508483024,0.4890233622062019,0.5306677791632339,,,,0.0
2025-12-11 03:22:00,-7.98,114.15,2.2,4.0,,VolcanoDiscovery,2025-12-11 03:22:00,Raung,-7.98,114.15,0.0,,0.0,5,7,4,1,0,0,0,0,0,0,2.2,4.0,Unknown,0,1,8.1,12.905000000000003,28.39100000000001,51.62000000000001,8371.164439616114,-0.34134651424503615,0.9399375283564133,0.43388373911755823,22.0,0,1.1708333333333334,0.0,-0.4285714285714285,-0.5714285714285714,-0.42857142857143005,2.4260614934114204,Sedang,2.1,2.9,2.1333333333333333,0.05773502691896269,2.44,0.4219004621945796,0.0,0.0,0.0,0.0,0.0,0.0,36.96000000000001,40.17399653979238,41.84666666666667,8.463954946319918,41.177598615916956,6.0546357671347995,7.95,9.149999999999999,8.0,0.0866025403784651,8.459999999999999,0.6328506932918696,0.8662135250639107,0.8662135250639107,86.62,Terdampak,3.9941836577859404,0.05978295139323081,0.9511983133618672,0.30869882548571387,0.48374321065631204,0.5644613947777437,0.48955153219334746,,,,0.0
2025-12-11 03:22:00,-7.98,114.15,2.2,4.0,,VolcanoDiscovery,2025-12-11 03:22:00,Ijen,-7.98,114.15,0.0,,0.0,0,4,1,1,0,0,0,0,0,0,2.2,4.0,Unknown,0,1,8.1,12.905000000000003,28.39100000000001,51.62000000000001,8371.164439616114,-0.34134651424503615,0.9399375283564133,0.43388373911755823,22.0,0,0.0,0.0,-0.4285714285714285,-0.5714285714285714,-0.42857142857143005,-0.0424597364568082,Sedang,2.2,2.1,2.166666666666667,0.05773502691896285,2.4,0.38987177379235843,0.0,0.0,0.0,0.0,0.0,0.0,51.62000000000001,36.96000000000001,46.73333333333335,8.463954946319921,42.91799884659747,6.892085982911924,8.1,7.95,8.049999999999999,0.08660254037846388,8.4,0.584807660688538,0.7810637733539998,0.7810637733539998,78.11,Terdampak,3.8755240590609388,0.8662135250639107,0.0001,0.5690200832703805,0.4430625942413938,0.6005617912071197,0.4467079514318409,,,,0.0
2025-12-11 22:02:00,-7.92,114.16,2.2,6.0,,VolcanoDiscovery,2025-12-11 22:02:00,Raung,-7.92,114.16,0.0,,0.0,5,7,4,1,0,0,0,0,0,0,2.2,6.0,Unknown,0,1,8.1,10.636944444444444,23.40127777777778,42.547777777777775,5687.267258742613,-0.34134651424503615,0.9399375283564133,0.43388373911755823,22.0,0,0.7777777777777778,0.0,-0.4285714285714285,-0.2857142857142857,-0.42857142857143005,1.5973645680819912,Sedang,2.2,2.1,2.2,0.0,2.3714285714285714,0.3638419332360583,0.0,0.0,0.0,0.0,0.0,0.0,51.62000000000001,36.96000000000001,48.59592592592593,5.237849942148122,42.86511012248037,6.2931408308183965,8.1,7.95,8.1,0.0,8.357142857142858,0.5457628998540878,0.9175182761045644,0.9175182761045644,91.75,Terdampak,4.065678888822081,0.7810637733539998,0.05978295139323081,0.8549318581741584,0.06892325323201437,0.6458412890496118,0.425019558806146,,,,0.0
2025-12-11 22:02:00,-7.92,114.16,2.2,6.0,,VolcanoDiscovery,2025-12-11 22:02:00,Ijen,-7.92,114.16,0.0,,0.0,0,4,1,1,0,0,0,0,0,0,2.2,6.0,Unknown,0,1,8.1,10.636944444444444,23.40127777777778,42.547777777777775,5687.267258742613,-0.34134651424503615,0.9399375283564133,0.43388373911755823,22.0,0,0.0,0.0,-0.4285714285714285,-0.2857142857142857,-0.42857142857143005,-0.0424597364568082,Sedang,2.2,2.2,2.2,0.0,2.2714285714285714,0.2811540841738191,0.0,0.0,0.0,0.0,0.0,0.0,42.547777777777775,51.62000000000001,45.571851851851854,5.237849942148115,43.20422172790685,6.18702082096874,8.1,8.1,8.1,0.0,8.207142857142857,0.42173112626072995,0.8796969689600115,0.8796969689600115,87.97,Terdampak,4.012973378366607,0.9175182761045644,0.8662135250639107,0.8594263394728586,0.07044949712439368,0.6365105440339407,0.4180162610848256,,,,0.0
2025-12-12 05:19:00,-7.98,114.18,3.0,13.0,,VolcanoDiscovery,2025-12-12 05:19:00,Ijen,-7.98,114.18,0.0,,0.0,1,4,1,1,0,1,0,0,0,0,3.0,13.0,Unknown,0,1,9.3,10.812056213017751,23.786523668639056,43.248224852071004,5876.063025498763,-0.3251276029999093,0.9456701548465688,-0.433883739117558,30.0,0,0.3034722222222222,0.0,0.7142857142857145,0.7142857142857143,0.714285714285715,0.5973645680819912,Sedang,2.2,2.2,2.466666666666667,0.46188021535170104,2.2857142857142856,0.31847852585154207,0.0,0.0,0.0,0.0,0.0,0.0,42.547777777777775,51.62000000000001,42.78126013587552,0.40440330689623344,43.64339720108951,6.043521403744957,8.1,8.1,8.5,0.6928203230275527,8.22857142857143,0.4777177887773147,0.7823351233528767,0.7823351233528767,78.23,Terdampak,5.802792935549129,0.8796969689600115,0.7810637733539998,0.8598501228058174,0.06974269978766691,0.6123872311755134,0.4013702454081771,,,,0.0
2025-12-12 05:19:00,-7.98,114.18,3.0,13.0,,VolcanoDiscovery,2025-12-12 05:19:00,Raung,-7.98,114.18,0.0,,0.0,16,4,8,1,0,0,0,0,0,0,3.0,13.0,Unknown,0,1,9.3,10.812056213017751,23.786523668639056,43.248224852071004,5876.063025498763,-0.3251276029999093,0.9456701548465688,-0.433883739117558,30.0,0,0.0,0.0,0.7142857142857145,0.7142857142857143,0.714285714285715,-0.0424597364568082,Sedang,3.0,2.2,2.733333333333333,0.4618802153517013,2.414285714285714,0.40178174601214955,0.0,0.0,0.0,0.0,0.0,0.0,43.248224852071004,42.547777777777775,43.014742493973266,0.404403306896236,44.54171503709966,5.306983516110017,9.3,8.1,8.9,0.6928203230275511,8.42142857142857,0.6026726190182244,0.8780029949326082,0.8780029949326082,87.8,Terdampak,6.002316294436578,0.7823351233528767,0.9175182761045644,0.8466783624151656,0.05572931631351165,0.7378019447373146,0.3033541855228224,,,,0.0
