epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,1.0176080465316772,0.8639242649078369,1.2818902730941772,1.0419857501983643
1,0.0010000000474974513,0.9720171093940735,0.8443042039871216,1.2785438299179077,1.0354959964752197
2,0.0010000000474974513,0.9570885896682739,0.8375154733657837,1.2964049577713013,1.0428457260131836
3,0.0010000000474974513,0.9395742416381836,0.8282455801963806,1.298638939857483,1.0401923656463623
4,0.0010000000474974513,0.9289871454238892,0.8197579979896545,1.3056472539901733,1.0386152267456055
5,0.0010000000474974513,0.916772723197937,0.814010739326477,1.3307136297225952,1.0488383769989014
6,0.0010000000474974513,0.903680145740509,0.8068053126335144,1.3489145040512085,1.0546985864639282
7,0.0010000000474974513,0.8874035477638245,0.7990177869796753,1.3516024351119995,1.0544195175170898
8,0.0005000000237487257,0.8826051950454712,0.7965028882026672,1.3420108556747437,1.048000693321228
9,0.0005000000237487257,0.8796318173408508,0.7928602695465088,1.340872883796692,1.0452396869659424
10,0.0005000000237487257,0.8724244236946106,0.7889219522476196,1.3845309019088745,1.0643357038497925
11,0.0005000000237487257,0.8643503785133362,0.7859523892402649,1.4192417860031128,1.0780746936798096
12,0.0005000000237487257,0.8594624996185303,0.7842360734939575,1.441983938217163,1.0871104001998901
13,0.0005000000237487257,0.8539690375328064,0.781852126121521,1.4509388208389282,1.0912551879882812
