Tanggal,Lintang,Bujur,Magnitudo,Kedalaman (km),Lokasi,Keterangan,Sumber,Acquired_Date,Nama,EQ_Lintang,EQ_Bujur,VRP_Max,MSI_summit (W),MSI_total (W),Magnitudo_Original,Kedalaman_Original,isVulkanik,isTektonik,seismic_energy_log10,R1_final,R2_final,R3_final,AreaTerdampak_km2,tfe_doy_sin,tfe_doy_cos,tfe_weekday_sin,Intensity,cluster_id,time_since_last_event_days,OLI_total (W),Magnitudo_scaled,Kedalaman (km)_scaled,seismic_energy_log10_scaled,time_since_last_event_days_scaled,impact_level,Magnitudo_lag1,Magnitudo_lag3,Magnitudo_roll_mean3,Magnitudo_roll_std3,Magnitudo_roll_mean7,Magnitudo_roll_std7,VRP_Max_lag1,VRP_Max_lag3,VRP_Max_roll_mean3,VRP_Max_roll_std3,VRP_Max_roll_mean7,VRP_Max_roll_std7,R3_final_lag1,R3_final_lag3,R3_final_roll_mean3,R3_final_roll_std3,R3_final_roll_mean7,R3_final_roll_std7,seismic_energy_log10_lag1,seismic_energy_log10_lag3,seismic_energy_log10_roll_mean3,seismic_energy_log10_roll_std3,seismic_energy_log10_roll_mean7,seismic_energy_log10_roll_std7,PheromoneScore,Pheromone_Score,Risk_Index,Status_Zona,Radius_Visual_KM,PheromoneScore_lag1,PheromoneScore_lag3,PheromoneScore_roll_mean3,PheromoneScore_roll_std3,PheromoneScore_roll_mean7,PheromoneScore_roll_std7,lstm_prediction,prediction_sigma,prediction_error,anomaly_score
,,,2.1,11.0,,"16 kali gempa Hembusan
4 kali gempa Tektonik Lokal
8 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-12 03:22:00,Raung,-8.0,114.19,0.0,,0.0,2.1,11.0,1,1,7.95,8.258404958677687,18.168490909090913,33.03361983471075,3428.168859179353,-0.3251276029999093,0.9456701548465688,-0.433883739117558,21.0,0,0.4703385416666667,0.0,-0.2500000000000003,0.0,-0.2499999999999989,0.0,Ringan,0.0,0.0,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.03361983471075,0.0,33.03361983471075,0.0,0.0,0.0,7.95,0.0,7.95,0.0,0.5,0.5,50.0,Aman,3.279405314694293,0.0,0.0,0.5,0.0,0.5,0.0,,,,0.0
,,,2.1,11.0,,"1 kali gempa Hembusan
1 kali gempa Vulkanik Dalam
4 kali gempa Tektonik Lokal
1 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-12 03:22:00,Ijen,-8.0,114.19,0.0,,0.0,2.1,11.0,1,1,7.95,8.258404958677687,18.168490909090913,33.03361983471075,3428.168859179353,-0.3251276029999093,0.9456701548465688,-0.433883739117558,21.0,0,0.0,0.0,-0.2500000000000003,0.0,-0.2499999999999989,-3.023604910714286,Ringan,2.1,0.0,2.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.03361983471075,0.0,33.03361983471075,0.0,33.03361983471075,0.0,7.95,0.0,7.95,0.0,7.95,0.0,0.5,0.5,50.0,Aman,3.279405314694293,0.5,0.0,0.5,0.0,0.5,0.0,,,,0.0
,,,2.2,6.0,,"1 kali gempa Hembusan
1 kali gempa Vulkanik Dalam
4 kali gempa Tektonik Lokal
1 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-12 05:41:00,Ijen,-7.97,114.13,0.0,,0.0,2.2,6.0,1,1,8.1,10.330666666666668,22.727466666666672,41.32266666666667,5364.466686587629,-0.3251276029999093,0.9456701548465688,-0.433883739117558,22.0,0,0.09652777777777778,0.0,0.0,-5.0,0.0,-2.403069196428572,Sedang,2.1,0.0,2.1333333333333333,0.05773502691896269,2.1333333333333333,0.05773502691896269,0.0,0.0,0.0,0.0,0.0,0.0,33.03361983471075,0.0,35.79663544536272,4.785683419755165,35.79663544536272,4.785683419755165,7.95,0.0,8.0,0.08660254037844356,8.0,0.08660254037844356,0.5,0.5,50.0,Aman,3.483850403030317,0.5,0.0,0.5,0.0,0.5,0.0,,,,0.0
,,,2.0,14.0,,"16 kali gempa Hembusan
4 kali gempa Tektonik Lokal
8 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-12 18:16:00,Raung,-7.91,114.14,0.0,,0.0,2.0,14.0,1,1,7.8,7.5134693877551015,16.529632653061224,30.053877551020406,2837.598186724883,-0.3251276029999093,0.9456701548465688,-0.433883739117558,20.0,0,0.5243055555555556,0.0,-0.5000000000000006,3.0,-0.4999999999999993,0.34693080357142836,Ringan,2.2,2.1,2.1,0.1000000000000001,2.1,0.08164965809277268,0.0,0.0,0.0,0.0,0.0,0.0,41.32266666666667,33.03361983471075,34.80338801746594,5.839131921676919,34.36094597177714,4.8490542982803095,8.1,7.95,7.95,0.1500000000000001,7.95,0.1224744871391589,0.5,0.5,50.0,Aman,3.0778610333622907,0.5,0.5,0.5,0.0,0.5,0.0,,,,0.0
,,,3.1,10.0,,"1 kali gempa Vulkanik Dangkal
1 kali gempa Vulkanik Dalam
6 kali gempa Tektonik Lokal
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-13 15:03:00,Ijen,-7.98,114.24,0.0,,0.0,3.1,10.0,1,1,9.45,11.526000000000002,25.357200000000006,46.104000000000006,6677.702792971692,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,31.0,0,0.8659722222222223,0.0,2.2500000000000004,-1.0,2.2499999999999973,2.5433593749999996,Sedang,2.0,2.1,2.4333333333333336,0.5859465277082315,2.3,0.4527692569068708,0.0,0.0,0.0,0.0,0.0,0.0,30.053877551020406,33.03361983471075,39.16018140589569,8.240683499206758,36.70955677742172,6.72419952653885,7.8,7.95,8.450000000000001,0.8789197915623471,8.25,0.6791538853603059,0.5,0.5,50.0,Aman,5.441018655854489,0.5,0.5,0.5,0.0,0.5,0.0,,,,0.0
,,,2.3,6.0,,"8 kali gempa Hembusan
6 kali gempa Tektonik Lokal
3 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-13 23:54:00,Raung,-7.97,114.16,0.0,,0.0,2.3,6.0,1,1,8.25,10.642666666666667,23.41386666666667,42.57066666666667,5693.387918834707,-0.30881248126625377,0.9511229423235357,-0.9749279121818236,23.0,0,0.36875,0.0,0.24999999999999917,-5.0,0.2500000000000004,-0.6530691964285716,Sedang,3.1,2.2,2.466666666666667,0.5686240703077328,2.3000000000000003,0.4049691346263317,0.0,0.0,0.0,0.0,0.0,0.0,46.104000000000006,41.32266666666667,39.576181405895696,8.43367145077046,37.6864084256292,6.47281409232479,9.45,8.1,8.5,0.8529361054615988,8.25,0.6074537019394972,0.5,0.5,50.0,Aman,3.691103301765151,0.5,0.5,0.5,0.0,0.5,0.0,,,,0.0
,,,2.2,11.0,,"1 kali gempa Hembusan
2 kali gempa Tremor Non-Harmonik
3 kali gempa Vulkanik Dangkal
1 kali gempa Vulkanik Dalam
5 kali gempa Tektonik Lokal
3 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-15 00:12:00,Ijen,-7.97,114.15,0.0,,0.0,2.2,11.0,1,1,8.1,8.563586776859504,18.83989090909091,34.254347107438015,3686.2200851636576,-0.27591294500296043,0.9611826292540837,0.0,22.0,0,1.0125,0.0,0.0,0.0,0.0,3.485323660714285,Sedang,2.3,2.0,2.533333333333333,0.49328828623162474,2.2857142857142856,0.3716116764786032,0.0,0.0,0.0,0.0,0.0,0.0,42.57066666666667,30.053877551020406,40.97633792470156,6.0835829509954715,37.196113951601895,6.049558324952109,8.25,7.8,8.6,0.7399324293474369,8.22857142857143,0.5574175147179046,0.5,0.5,50.0,Aman,3.483850403030317,0.5,0.5,0.5,0.0,0.5,0.0,,,,0.0
,,,2.6,12.0,,"6 kali gempa Hembusan
3 kali gempa Tektonik Lokal
8 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-15 11:35:00,Raung,-7.99,114.19,0.0,,0.0,2.6,12.0,1,1,8.7,9.608666666666666,21.13906666666667,38.434666666666665,4640.834815054521,-0.27591294500296043,0.9611826292540837,0.0,26.0,0,0.47430555555555554,0.0,1.0,1.0,0.9999999999999986,0.025502232142856667,Sedang,2.2,3.1,2.3666666666666667,0.2081665999466135,2.357142857142857,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,34.254347107438015,46.104000000000006,38.419893480257116,4.158179461985715,37.96769207045274,5.768062377760248,8.1,9.45,8.35,0.31224989991992,8.335714285714285,0.5669467095138407,0.5,0.5,50.0,Aman,4.328878189671251,0.5,0.5,0.5,0.0,0.5,0.0,,,,0.0
,,,2.5,10.0,,"6 kali gempa Hembusan
3 kali gempa Tektonik Lokal
8 kali gempa Tektonik Jauh
1 kali gempa Tremor Menerus",VolcanoDiscovery,2025-12-15 20:39:00,Raung,-7.96,114.15,0.0,,0.0,2.5,10.0,1,1,8.55,9.69,21.318,38.76,4719.732767371721,-0.27591294500296043,0.9611826292540837,0.0,25.0,0,0.37777777777777777,0.0,0.7499999999999997,-1.0,0.7500000000000011,-0.5950334821428576,Sedang,2.6,2.3,2.4333333333333336,0.20816659994661318,2.414285714285714,0.36253078686998624,0.0,0.0,0.0,0.0,0.0,0.0,38.434666666666665,42.57066666666667,37.14967125803489,2.5126951460964424,38.78574637977977,5.341994861769695,8.7,8.25,8.450000000000001,0.3122498999199206,8.421428571428573,0.5437961803049799,0.5,0.5,50.0,Aman,4.113694388544492,0.5,0.5,0.5,0.0,0.5,0.0,,,,0.0
