Acquired_Date,EQ_Lintang,EQ_Bujur,cluster_id,aco_center_lat,aco_area_km2,anomaly_score
2022-01-01 07:57:00,-7.916717236926822,112.3061172305354,0,-7.916717236926822,92.78819917355193,0.0
2022-01-03 12:48:00,-7.868128963606708,112.369014268496,0,-7.868128963606708,109.15218251760177,0.0
2022-01-03 13:56:00,-8.141551831137674,114.0651860489784,0,-8.141551831137674,42.048630903417376,0.0
2022-01-03 19:35:00,-8.133701421527677,114.0581574221127,0,-8.133701421527677,28.274333882308138,0.0
2022-01-04 13:41:00,-7.910047776492585,112.310988665706,0,-7.910047776492585,318.60587762834734,0.0
2022-01-06 21:43:00,-7.951727155089354,112.9363494824208,0,-7.951727155089354,58.04343116452408,0.0
2022-01-07 07:34:00,-8.12147034680821,114.0222914500236,0,-8.12147034680821,134.9525613145812,0.0
2022-01-12 02:21:00,-7.950031055581993,112.9512794539355,0,-7.950031055581993,36.21053179183325,0.0
2022-01-12 09:01:00,-8.059007362301589,113.997373075901,0,-8.059007362301589,48.373937531502456,0.0
2022-01-14 00:42:00,-8.116487702886182,114.053251378076,0,-8.116487702886182,40.819463337750015,0.0
2022-01-14 10:05:00,-7.910022494225677,112.2991975743061,0,-7.910022494225677,63.82229617337562,0.0
2022-01-14 12:19:00,-8.100086118922372,112.9382496730046,0,-8.100086118922372,92.10848068615216,0.0
2022-01-14 20:50:00,-7.94212865402597,112.9748334446094,0,-7.94212865402597,220.43052777734084,0.0
2022-01-15 04:26:00,-8.14116103368778,112.9615892157479,0,-8.14116103368778,295.60942951230595,0.0
2022-01-15 06:38:00,-8.086770364988952,114.2589575414479,0,-8.086770364988952,140.32268136013073,0.0
2022-01-15 08:30:00,-7.891901090579822,112.2480336252349,0,-7.891901090579822,190.5475360219332,0.0
2022-01-16 02:39:00,-8.134217526776622,112.9180416615425,0,-8.134217526776622,116.92411998485213,0.0
2022-01-18 04:38:00,-7.964557109597892,112.3168003524699,0,-7.964557109597892,136.29242089078218,0.0
2022-01-19 11:00:00,-8.152825354341882,114.066475027313,0,-8.152825354341882,126.1709051704169,0.0
2022-01-19 12:05:00,-8.105514282854502,114.1073640856964,0,-8.105514282854502,296.81239982996595,0.0
2022-01-19 21:24:00,-8.169910939791816,114.0401220548454,0,-8.169910939791816,153.69269015939267,0.0
2022-01-19 22:30:00,-8.12683435056466,114.0523341184574,0,-8.12683435056466,84.64050194716724,0.0
2022-01-20 01:17:00,-8.169501683521084,114.0449604707023,0,-8.169501683521084,42.111330805672104,0.0
2022-01-20 11:11:00,-7.973514240339685,113.0048304151398,0,-7.973514240339685,186.69464317846996,0.0
2022-01-22 11:34:00,-7.883398024253043,112.2663443683203,0,-7.883398024253043,207.61784687106064,0.0
2022-01-22 13:08:00,-7.920754809198094,112.3292467571374,0,-7.920754809198094,88.79137870298636,0.0
2022-01-23 10:28:00,-8.042132939203462,112.8738660246577,0,-8.042132939203462,264.855667017313,0.0
2022-01-23 22:19:00,-8.113031390323666,114.052395933188,0,-8.113031390323666,151.67277083775187,0.0
2022-01-23 23:14:00,-7.94986263560164,113.0071762134843,0,-7.94986263560164,567.9279925707174,0.0
2022-01-24 22:17:00,-7.978263206344961,112.3732395132086,0,-7.978263206344961,194.5426790186238,0.0
2022-01-25 02:41:00,-7.999641091118968,112.2386483357198,0,-7.999641091118968,28.274333882308138,-1.3370714474234884
2022-01-25 05:28:00,-7.912910190378409,112.3097461281619,0,-7.912910190378409,128.35060264522653,0.18369314160234348
2022-01-25 09:51:00,-8.088459102496168,112.9281807713791,0,-8.088459102496168,169.366887342247,0.4967650592358775
2022-01-25 12:18:00,-7.920619233691167,112.9052513947285,0,-7.920619233691167,84.17963742530257,-0.0862043733187926
2022-01-25 15:46:00,-7.984836053974819,112.3519153453574,0,-7.984836053974819,122.87474784534666,0.36219475183387684
2022-01-25 17:12:00,-8.101423535719341,114.2685623071441,0,-8.101423535719341,182.24770043572073,0.6403799829546895
2022-01-25 22:28:00,-7.909597185434142,112.3495245056536,0,-7.909597185434142,64.87457520158532,-0.47377940357822457
2022-01-26 15:54:00,-7.981628747320634,112.2415710199748,0,-7.981628747320634,189.0381448137486,0.5628976478578656
2022-01-26 19:52:00,-7.940872353107685,112.3253107644403,0,-7.940872353107685,46.3326084927051,-0.7871086500079418
2022-01-27 16:17:00,-8.162335086391234,114.0936592068512,0,-8.162335086391234,442.6996526300893,1.1836350186821223
2022-01-29 07:25:00,-7.944897332139233,112.3424142298435,0,-7.944897332139233,230.34507940206353,1.1910477196439928
2022-01-29 20:38:00,-8.069106232288952,114.2351192270447,0,-8.069106232288952,72.52937576862485,-0.6555443387061213
2022-01-30 04:40:00,-8.127552516228539,114.0750933350353,0,-8.127552516228539,345.202393448211,1.9167754788060472
2022-01-31 18:18:00,-8.044117906718789,114.233205669959,0,-8.044117906718789,144.75290126278634,0.26641164484249397
2022-01-31 23:24:00,-8.099009082080153,114.0164814562312,0,-8.099009082080153,282.8416258030878,1.4373891924030369
2022-02-01 03:26:00,-7.927617076198509,112.2607636011464,0,-7.927617076198509,438.39444457631186,1.639535975269891
2022-02-01 11:35:00,-7.933503448658401,112.9171435187147,0,-7.933503448658401,61.04159834758932,-0.1668752380537274
2022-02-01 16:55:00,-8.186014778908971,114.0682086489912,0,-8.186014778908971,193.2157581850906,0.9582671169256128
2022-02-02 12:47:00,-8.129788267218117,114.0456054777548,0,-8.129788267218117,122.2913779718336,0.1740008732247924
